Anio,Tipo,Sector,Gas,Cantidad
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Procesos industriales sin combustión,CO (t),295564.78755
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Procesos industriales sin combustión,CO2 (t),22626781.9866023
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Procesos industriales sin combustión,N2O (t),9356.686761120001
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Procesos industriales sin combustión,NH3 (t),15821.110609
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Procesos industriales sin combustión,SF6 (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Procesos industriales sin combustión,HFC (t),205.399999796
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Procesos industriales sin combustión,PFC (t),131.824894
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Extracción y distribución de combustibles fósiles y energía geotérmica,SOx (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Extracción y distribución de combustibles fósiles y energía geotérmica,NOx (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Extracción y distribución de combustibles fósiles y energía geotérmica,COVNM (t),62911.004689999994
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Extracción y distribución de combustibles fósiles y energía geotérmica,CH4 (t),114605.75092799998
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Extracción y distribución de combustibles fósiles y energía geotérmica,CO (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Extracción y distribución de combustibles fósiles y energía geotérmica,CO2 (t),667.8580000000001
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Extracción y distribución de combustibles fósiles y energía geotérmica,N2O (t),0.000408
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Extracción y distribución de combustibles fósiles y energía geotérmica,NH3 (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Extracción y distribución de combustibles fósiles y energía geotérmica,SF6 (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Extracción y distribución de combustibles fósiles y energía geotérmica,HFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Extracción y distribución de combustibles fósiles y energía geotérmica,PFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Uso de disolventes y otros productos,SOx (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Uso de disolventes y otros productos,NOx (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Uso de disolventes y otros productos,COVNM (t),416992.803681
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Uso de disolventes y otros productos,CH4 (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Uso de disolventes y otros productos,CO (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Uso de disolventes y otros productos,CO2 (t),1092618.3063710001
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Uso de disolventes y otros productos,N2O (t),1353.253564
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Uso de disolventes y otros productos,NH3 (t),700.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Uso de disolventes y otros productos,SF6 (t),2.7866961999999993
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Uso de disolventes y otros productos,HFC (t),29.216739496999992
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Uso de disolventes y otros productos,PFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Transporte por carretera,SOx (t),54276.95997900001
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Transporte por carretera,NOx (t),585291.323998
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Transporte por carretera,COVNM (t),351824.89186599996
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Transporte por carretera,CH4 (t),14839.295560999999
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Transporte por carretera,CO (t),2107197.7060719994
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Transporte por carretera,CO2 (t),50613861.631000005
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Transporte por carretera,N2O (t),1590.611865
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Transporte por carretera,NH3 (t),353.423285
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Transporte por carretera,SF6 (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Transporte por carretera,HFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Transporte por carretera,PFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otros modos de transporte y maquinaria móvil,SOx (t),65671.10623158567
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otros modos de transporte y maquinaria móvil,NOx (t),247541.13654037833
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otros modos de transporte y maquinaria móvil,COVNM (t),26464.286987847212
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otros modos de transporte y maquinaria móvil,CH4 (t),624.2525857608022
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otros modos de transporte y maquinaria móvil,CO (t),61037.91227444394
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otros modos de transporte y maquinaria móvil,CO2 (t),18426526.51454488
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otros modos de transporte y maquinaria móvil,N2O (t),608.8384908585678
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otros modos de transporte y maquinaria móvil,NH3 (t),31.853035000000006
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otros modos de transporte y maquinaria móvil,SF6 (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otros modos de transporte y maquinaria móvil,HFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Otros modos de transporte y maquinaria móvil,PFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Tratamiento y eliminación de residuos,SOx (t),26354.12508986
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Tratamiento y eliminación de residuos,NOx (t),6415.40276381
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Tratamiento y eliminación de residuos,COVNM (t),7008.235927170001
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Tratamiento y eliminación de residuos,CH4 (t),314174.59873116005
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Tratamiento y eliminación de residuos,CO (t),19819.679403699996
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Tratamiento y eliminación de residuos,CO2 (t),1259734.1916500002
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Tratamiento y eliminación de residuos,N2O (t),2817.93219079
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Tratamiento y eliminación de residuos,NH3 (t),2122.778355
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Tratamiento y eliminación de residuos,SF6 (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Tratamiento y eliminación de residuos,HFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Tratamiento y eliminación de residuos,PFC (t),0.0
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Agricultura,SOx (t),4410.324802
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Agricultura,NOx (t),28151.270875
1990,"ACIDIFICADORES, PRECURSORES DE OZONO Y GASES DE EFECTO INVERNADERO",Agricultura,COVNM (t),313015.80214499997
